SQL,cardinality
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 70907;",6747781
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 67394 AND kind_id = 4;",61464
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 8;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 7 AND keyword_id != 24357;",1588591
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 119631 AND kind_id = 4;",26762
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 2;",2993245
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 173395 AND kind_id != 6;",89356
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 164420;",7304315
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 28827;",5807427
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 6 AND keyword_id > 145452;",213567
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 58557 AND kind_id >= 7;",1345669
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 4;",5690467
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 162166;",7297607
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 187447 AND kind_id < 4;",58159
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 7;",5831279
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 2;",312380
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 6 AND keyword_id != 117193;",5690467
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 7 AND keyword_id >= 52359;",669311
